Number	Surname, Initials	Week	Job	hTotal	hNormal
736903	PZdHLGbc, M.	201549	1	46.200000	46.200000
736903	PZdHLGbc, M.	201550	1	37.650000	24.990000
736903	PZdHLGbc, M.	201551	1	44.750000	40.750000
736903	PZdHLGbc, M.	201552	1	30.780000	18.050000
736903	PZdHLGbc, M.	201553	1	36.270000	35.270000
339676	VXoIaCpt, S.P.	201549	1	39.690000	39.690000
339676	VXoIaCpt, S.P.	201550	1	37.250000	25.010000
339676	VXoIaCpt, S.P.	201551	1	44.210000	40.210000
339676	VXoIaCpt, S.P.	201553	1	22.680000	21.680000
763246	axmnZcMR, P.K.	201550	1	25.290000	25.290000
763246	axmnZcMR, P.K.	201551	1	20.670000	14.860000
542955	PQrlJwmj, Z.W.	201549	2	47.620000	47.620000
542955	PQrlJwmj, Z.W.	201550	2	36.550000	21.560000
542955	PQrlJwmj, Z.W.	201551	2	45.780000	41.780000
542955	PQrlJwmj, Z.W.	201552	2	25.750000	12.790000
542955	PQrlJwmj, Z.W.	201553	2	38.580000	37.580000
318824	igHHrNZO, T.A.	201549	2	45.560000	42.460000
318824	igHHrNZO, T.A.	201550	2	43.100000	39.100000
318824	igHHrNZO, T.A.	201551	2	43.260000	40.210000
318824	igHHrNZO, T.A.	201552	2	31.740000	28.740000
318824	igHHrNZO, T.A.	201553	2	31.990000	28.990000
288123	ZCVpJZlR, I.B.	201549	1	44.520000	44.520000
288123	ZCVpJZlR, I.B.	201550	1	44.580000	42.580000
288123	ZCVpJZlR, I.B.	201551	1	23.990000	16.070000
288123	ZCVpJZlR, I.B.	201552	1	31.370000	29.370000
288123	ZCVpJZlR, I.B.	201553	1	20.070000	12.350000
510893	XpeotZoB, A.	201549	1	40.420000	40.420000
510893	XpeotZoB, A.	201550	1	35.040000	35.040000
510893	XpeotZoB, A.	201551	1	39.730000	39.730000
510893	XpeotZoB, A.	201552	1	29.280000	29.280000
510893	XpeotZoB, A.	201553	1	19.930000	19.930000
372989	qCUGNVtU, B.R.	201549	1	48.290000	48.290000
372989	qCUGNVtU, B.R.	201550	1	41.180000	41.180000
372989	qCUGNVtU, B.R.	201551	1	36.790000	36.790000
372989	qCUGNVtU, B.R.	201552	1	32.100000	32.100000
372989	qCUGNVtU, B.R.	201553	1	1.520000	1.520000
